author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
5371352,bsniz,2632,37591,"Husband to @chiarapotenza and dad to 🐶Bucatini. Food, travel, @NDfootball and digital business. EVP / Executive Digital Director @GolinGlobal - opinions my own","Chicago, IL, USA","@PeteSampson_ How about this... when the media timeouts happen, instead of seeing commercials on @peacock we get live commentary and analysis from you and @Matt_Fortuna",2021-08-05 20:12:01+00:00,0,1,1,0
828281213421027329,MichaelOngRisk,3824,12809,"Finance expert in enterprise #risk management, #banking, and capital #markets; Professor of #Finance; #Physics; #Mathematics; Seeker of Light; Upholder of Truth",,Olympic Champion Again - Ryan Crouser - and champion for his grandfather!! #RyanCrouser #TokyoOlympics #shotput #family #grandfather #champion #athletics #Olympics @RCrouserThrows @peacock https://t.co/wAHYNqbCif,2021-08-05 18:46:05+00:00,0,0,1,0
1422618186697134082,LostInAnimals1,112,16,"The aim behind creating this page is to capture the beauty of animals and insects.
If you're animals or nature lover then kindly like our page. 

Regards",,"Peacock at desert tharparkar
#PeacockTV 
#peacock @Free2BeeMee @PinkMommy0113 @Fidahus42501503 @_tashamelia @peacockTV @peacock @dawisu @animalpicsdly @RonnyBlair @AnimalPlanet @fantinofantino @Pajaropolitico @CamelPhat @BIRDMAN5STAR @Marvi_S90 @a_leo_in_devon @adriana96161452 https://t.co/Lv8mvbKwzu",2021-08-05 18:23:54+00:00,0,0,4,0
11797042,tjansley,3919,16974,"Digital @PerfectGameUSA ⚾️ // Former Digital for @BlueJacketsNHL 🏒🥅, @trailblazers 🏀, @ColumbusCrewSC ⚽️ // Eastern Michigan Univ. Alum","Columbus, OH",I would like to apply to @Peacock to be the person that only replies with this meme. https://t.co/mdDpZsO5O3,2021-08-05 16:06:59+00:00,1,0,2,0
1455776233,HallDontLie,92,3076,Dad. Pal. Bulls. Red Sox. djsxjsjdnekdijfdenddBEKIND,,@bocxtop @Peacock gotta be in this conversation too,2021-08-05 15:14:53+00:00,0,0,0,0
75713167,MikeBlastoff,620,5119,Independent thinker. Independent professional. Family. Faith. Finances. Fun.,USA,"@CHold @Dame_Lillard Yes, thanks! Do you have the channel? 

I just paid $5 to get Peacock to watch a 2nd half beatdown...now am I going to need to get some other premium package of NBC to watch my country play for a Gold in my favorite sport? @NBCSNorthwest @peacock @peacockTV be better.",2021-08-05 06:51:05+00:00,0,0,1,0
795304076,Eduardo_Refugio,505,24064,"Sports, soccer, wrestling fanatic. Founder/CEO of National Championship Wrestling (NCW). Of course you don’t know what it is... yet.","Ontario, California","@THENEXTBlGTHlNG @peacock @NBCSports In that case, enjoy the game my good sir!",2021-08-05 04:28:37+00:00,0,0,0,0
1205990051517124608,THENEXTBlGTHlNG,696,6205,"@thenextblgthing suspended, so here I am. Frank. 27. I do me & I chill! Immaculate vibes. Sasha Banks 🐐 Makes gifs for fun. You might use em 👇🏽 #MFFL #WHYNOT",LA,@Eduardo_Refugio @peacock @NBCSports I think it’s fixed now. They removed it earlier and was glitching without the time,2021-08-05 04:28:07+00:00,0,1,0,0
795304076,Eduardo_Refugio,505,24064,"Sports, soccer, wrestling fanatic. Founder/CEO of National Championship Wrestling (NCW). Of course you don’t know what it is... yet.","Ontario, California",@THENEXTBlGTHlNG @peacock @NBCSports It shows the scoreboard on the NBC sports app. Try that,2021-08-05 04:26:25+00:00,0,1,0,0
1205990051517124608,THENEXTBlGTHlNG,696,6205,"@thenextblgthing suspended, so here I am. Frank. 27. I do me & I chill! Immaculate vibes. Sasha Banks 🐐 Makes gifs for fun. You might use em 👇🏽 #MFFL #WHYNOT",LA,Put the fucking scoreboard up @Peacock @NBCSports #Basketball #Olympics,2021-08-05 04:21:30+00:00,0,1,1,0
